,$,'',(,),",",.,:,CC,CD,DT,EX,FW,Filename,Fillers,IN,JJ,JJR,JJS,LIVerbs,MD,MLU,NN,NNP,NNPS,NNS,NSNouns,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,TTR,UH,UniqueStems,UniqueWords,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,WordCount,``,LS,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Author,Approx Age at Composition,Year of Publication,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised,Pronouns,PronounsNormalised,UniqueWordsNormalised,UniqueStemsNormalised
0,1.0,1155.0,3.0,3.0,2488.0,5904.0,133.0,2811.0,579.0,7208.0,280.0,8.0,Cover Her Face.txt,259.0,9088.0,4559.0,175.0,136.0,1785.0,1542.0,15.051325919589393,10575.0,4155.0,26.0,2139.0,169.0,72.0,791.0,7067.0,1869.0,5338.0,133.0,34.0,386.0,2135.0,0.09994672214329206,24.0,4905.0,7879.0,3566.0,6479.0,1285.0,2468.0,1268.0,871.0,297.0,441.0,13.0,427.0,78832.0,43.0,0.0,1,76722,59.11,76.4,12.94,27.92,13.05,17.1,87.22,55.84,15.72,10.28,2.18,0.5,1.23,5.4,0.96,5.43,7.34,13.59,10.08,4.54,6.03,2.28,18.75,4.39,2.12,1.6,1.18,1.7,5.34,2.68,2.55,0.64,0.54,0.7,13.53,0.64,0.14,3.64,3.17,12.67,3.12,1.07,2.27,3.11,1.47,3.58,3.27,1.34,1.13,0.68,2.13,0.93,0.63,0.07,0.5,5.99,1.42,0.89,2.58,1.01,0.58,9.25,6.92,0.99,13.02,1.78,6.85,4.66,1.21,0.54,1.19,0.4,0.17,0.47,0.34,0.04,0.02,0.07,0.19,0.02,17.23,7.02,3.24,0.05,0.01,0.69,0.12,0.74,0.11,5.22,0.01,0.01,P. D. James,42,1962,16895.0,168.95,0.21431652120966105,4870.0,48.7,0.06177694337324944,5505.0,55.05,0.06983204789933022,15937.0,159.37,0.20216409579866043,8936.0,0.11335498274812258,0.09994672214329206,0.06222092551248224
2,0.0,1155.0,7.0,7.0,3216.0,6047.0,430.0,2819.0,695.0,7887.0,297.0,3.0,A Mind to Murder.txt,297.0,9006.0,5172.0,164.0,135.0,1718.0,1595.0,15.138833664678595,11300.0,4099.0,6.0,2281.0,168.0,70.0,771.0,7131.0,1750.0,5426.0,155.0,33.0,364.0,2182.0,0.09872650688474517,42.0,4943.0,8016.0,3611.0,6484.0,1362.0,2270.0,1259.0,1023.0,266.0,399.0,7.0,428.0,81194.0,24.0,0.0,1,78731,62.51,74.05,11.82,19.97,12.99,17.8,87.73,54.78,15.09,9.78,2.09,0.51,1.03,5.32,0.82,5.3,8.02,13.21,9.7,4.62,6.0,2.31,18.45,4.5,2.14,1.45,1.37,1.74,5.62,2.57,2.96,0.64,0.82,0.84,12.87,0.45,0.15,2.89,3.34,12.35,2.75,1.06,2.27,3.04,1.46,3.52,3.59,1.41,1.38,0.67,2.95,0.96,1.55,0.1,0.32,6.42,1.5,0.93,2.87,1.0,0.59,8.75,7.05,1.03,13.11,1.82,7.01,4.54,2.11,0.48,0.96,0.41,0.16,0.48,0.44,0.04,0.02,0.1,0.24,0.04,18.81,6.98,4.09,0.28,0.06,0.63,0.17,1.01,0.06,5.47,0.02,0.03,P. D. James,43,1963,17686.0,176.86,0.21782397714116808,5471.0,54.71,0.06738182624331847,5614.0,56.14,0.06914304012611769,16009.0,160.09,0.19716974160652265,8881.0,0.10938000344853067,0.09872650688474517,0.06087888267605981
4,0.0,815.0,6.0,6.0,3049.0,5778.0,421.0,2976.0,626.0,7737.0,327.0,3.0,Unnatural Causes.txt,266.0,9316.0,4990.0,150.0,145.0,1517.0,1405.0,15.582058414464534,11527.0,4340.0,7.0,2196.0,117.0,64.0,686.0,6758.0,1843.0,5162.0,127.0,38.0,396.0,2205.0,0.10861180112593777,23.0,5435.0,8701.0,3376.0,6467.0,1512.0,2275.0,1003.0,777.0,290.0,337.0,10.0,451.0,80111.0,8.0,0.0,1,78022,67.34,69.66,11.54,27.07,13.47,17.97,85.61,54.59,14.33,9.35,1.96,0.36,0.77,5.52,0.75,4.97,7.96,13.9,9.18,4.52,6.35,2.14,16.95,4.77,2.27,1.47,1.34,1.73,5.19,2.59,2.51,0.55,0.69,0.6,11.61,0.32,0.19,1.85,4.54,11.79,2.54,1.08,2.23,2.89,1.47,3.45,3.6,1.5,1.09,0.83,2.2,1.24,0.44,0.06,0.46,5.36,1.19,0.93,2.14,1.02,0.53,8.65,5.84,1.06,13.61,1.92,7.33,4.64,1.3,0.78,0.79,0.4,0.22,0.61,0.42,0.05,0.07,0.06,0.21,0.03,16.77,6.68,3.93,0.29,0.19,0.71,0.17,0.44,0.02,4.32,0.02,0.0,P. D. James,47,1967,18070.0,180.7,0.22556203267965697,5285.0,52.85,0.06597096528566614,5327.0,53.27,0.06649523785747276,15410.0,154.1,0.1923581031319045,8601.0,0.10736353309782677,0.10861180112593777,0.06784336732783264
14,1.0,1483.0,1.0,1.0,4158.0,8377.0,741.0,3921.0,979.0,10926.0,421.0,6.0,Shroud for a Nightingale.txt,375.0,12530.0,7162.0,201.0,155.0,2182.0,1928.0,14.930691884127365,15888.0,5688.0,29.0,3301.0,223.0,84.0,929.0,9709.0,2415.0,7242.0,170.0,43.0,454.0,3072.0,0.09307617293314552,48.0,6136.0,10308.0,4653.0,8772.0,1875.0,3030.0,1694.0,1168.0,327.0,520.0,12.0,601.0,110748.0,16.0,0.0,1,107915,66.6,73.41,12.11,24.87,12.85,18.72,86.24,54.55,14.76,9.68,1.93,0.39,1.05,5.38,0.93,5.07,8.26,13.47,9.27,4.42,6.09,2.14,17.09,4.38,2.11,1.4,1.38,1.57,4.86,2.35,2.4,0.51,0.62,0.62,12.38,0.56,0.14,3.93,2.61,11.74,2.7,1.05,2.11,2.87,1.39,3.46,3.22,1.35,1.0,0.73,2.92,1.06,1.28,0.08,0.53,5.76,1.43,0.89,2.34,0.98,0.57,8.52,6.28,1.0,13.39,1.74,7.13,4.82,1.91,0.58,1.02,0.35,0.15,0.56,0.36,0.04,0.02,0.08,0.2,0.04,18.43,7.08,3.86,0.32,0.22,0.72,0.13,0.92,0.03,5.15,0.0,0.0,P. D. James,51,1971,24906.0,249.06,0.2248889370462672,7518.0,75.18,0.06788384440351067,7455.0,74.55,0.06731498537219634,21192.0,211.92,0.1913533427240221,12124.0,0.10947376024849208,0.09307617293314552,0.05540506374832954
3,0.0,1095.0,1.0,1.0,3203.0,5603.0,796.0,2869.0,629.0,7802.0,312.0,11.0,An Unsuitable Job for a Woman.txt,229.0,8994.0,5078.0,145.0,109.0,1400.0,1406.0,15.950848972296694,11755.0,3701.0,5.0,2360.0,114.0,61.0,690.0,6913.0,1922.0,4897.0,102.0,22.0,367.0,2035.0,0.11113631208890905,22.0,5539.0,8820.0,3233.0,6802.0,1336.0,2204.0,995.0,679.0,266.0,384.0,7.0,417.0,79362.0,16.0,0.0,1,76946,68.65,75.96,9.68,25.8,13.72,18.03,85.64,54.65,14.84,10.16,1.76,0.38,1.18,6.12,0.73,4.66,8.59,13.45,8.99,4.21,6.02,2.13,17.25,4.51,2.01,1.45,1.22,1.32,5.04,2.47,2.47,0.57,0.5,0.83,12.72,0.45,0.2,3.8,3.25,11.15,2.65,1.03,2.17,2.51,1.28,3.3,3.85,1.81,1.02,0.88,2.5,1.36,0.53,0.09,0.5,5.26,1.18,0.94,2.26,0.83,0.5,9.06,5.74,0.99,13.77,2.02,7.47,4.67,1.65,0.7,0.94,0.45,0.21,0.67,0.32,0.04,0.01,0.07,0.18,0.01,18.43,6.61,4.16,0.36,0.47,0.77,0.12,0.84,0.05,5.0,0.0,0.04,P. D. James,52,1972,17821.0,178.21,0.22455331266853154,5332.0,53.32,0.06718580680930421,5021.0,50.21,0.06326705476172476,15249.0,152.49,0.19214485522038255,8835.0,0.11132531942239358,0.11113631208890905,0.06979410801139084
10,0.0,1180.0,1.0,1.0,4952.0,7478.0,948.0,3799.0,902.0,10218.0,325.0,6.0,The Black Tower.txt,385.0,12431.0,7021.0,221.0,153.0,2054.0,2074.0,16.162151287553648,15690.0,5387.0,6.0,3051.0,174.0,84.0,916.0,9059.0,2379.0,7053.0,179.0,28.0,520.0,2808.0,0.10061903557815675,42.0,6545.0,10744.0,4512.0,7944.0,2005.0,3060.0,1566.0,1142.0,339.0,456.0,11.0,547.0,106779.0,11.0,0.0,1,103709,68.95,70.95,10.83,30.8,13.82,19.27,84.76,53.9,14.39,9.41,1.85,0.36,1.04,5.36,0.8,4.98,8.18,13.69,8.96,4.32,6.15,2.07,16.64,4.52,2.22,1.36,1.29,1.48,4.96,2.59,2.29,0.64,0.49,0.48,11.52,0.42,0.18,1.66,4.47,11.68,2.68,1.05,2.29,2.87,1.31,3.44,3.68,1.52,1.06,0.91,2.54,1.28,0.76,0.06,0.44,5.4,1.07,1.0,2.36,1.05,0.6,7.97,6.05,1.17,13.26,1.94,7.13,4.54,1.53,0.96,0.81,0.47,0.33,0.58,0.34,0.04,0.02,0.08,0.17,0.03,18.36,6.55,4.78,0.37,0.37,0.66,0.1,0.8,0.03,4.68,0.0,0.0,P. D. James,55,1975,24134.0,241.34,0.22601822455726314,7395.0,73.95,0.06925519062737055,7260.0,72.6,0.06799089708650577,20229.0,202.29,0.189447363245582,11438.0,0.10711844089193567,0.10061903557815675,0.06129482388859232
7,0.0,1697.0,1.0,1.0,5394.0,8087.0,756.0,3806.0,1001.0,10740.0,348.0,6.0,Death of an Expert Witness.txt,342.0,12114.0,6431.0,204.0,151.0,2216.0,2126.0,15.28392768697375,15239.0,5150.0,11.0,3208.0,185.0,95.0,1108.0,10194.0,2287.0,6974.0,132.0,32.0,586.0,2864.0,0.09778526097655744,44.0,6397.0,10570.0,4743.0,8096.0,1961.0,2960.0,1881.0,1499.0,300.0,531.0,15.0,639.0,108094.0,21.0,0.0,1,104575,64.59,73.94,14.79,24.0,12.92,18.18,86.45,55.05,15.38,10.49,2.36,0.46,1.29,5.52,0.85,4.87,8.59,13.36,9.42,4.36,6.24,2.25,17.81,4.1,2.06,1.51,1.41,1.46,4.22,2.02,2.13,0.51,0.56,0.54,12.7,0.53,0.17,2.57,4.05,11.51,2.61,1.1,2.15,2.75,1.29,3.41,3.7,1.57,1.3,0.71,2.39,1.23,0.66,0.08,0.36,5.91,1.26,0.92,2.77,0.94,0.48,8.26,6.95,1.2,14.03,2.03,7.29,4.99,2.08,0.56,0.88,0.34,0.26,0.5,0.34,0.03,0.03,0.09,0.17,0.02,21.04,6.92,5.16,0.45,0.13,0.82,0.09,0.98,0.05,6.45,0.0,0.0,P. D. James,57,1977,23608.0,236.08,0.2184025015264492,6786.0,67.86,0.06277869261938683,7138.0,71.38,0.06603511758284455,21140.0,211.4,0.1955705219531149,12481.0,0.11546431809351121,0.09778526097655744,0.05917997298647473
6,0.0,1191.0,0.0,0.0,6199.0,8156.0,852.0,4085.0,1026.0,12060.0,417.0,3.0,Innocent Blood.txt,369.0,14157.0,7744.0,239.0,203.0,2288.0,2353.0,16.729353846153845,18057.0,3433.0,24.0,4236.0,154.0,71.0,790.0,11137.0,3368.0,7272.0,193.0,38.0,603.0,3066.0,0.09735278947105705,34.0,7185.0,11702.0,5200.0,9547.0,2402.0,3607.0,1525.0,933.0,459.0,560.0,24.0,649.0,120202.0,11.0,2.0,1,117440,68.09,80.3,7.24,29.69,14.42,17.8,86.43,55.5,15.72,10.92,1.44,0.3,1.12,6.8,1.27,4.78,8.52,13.83,9.21,4.03,5.75,1.99,16.85,4.57,2.16,1.48,1.47,1.49,4.6,2.38,2.15,0.57,0.5,0.52,13.59,0.63,0.14,4.25,3.51,10.91,2.4,0.98,2.3,2.49,1.33,3.0,3.69,1.67,0.93,0.85,2.51,1.26,0.56,0.1,0.57,5.48,1.08,0.98,2.47,0.94,0.55,8.52,5.6,1.01,14.51,1.95,7.83,4.98,1.41,0.77,1.12,0.65,0.21,0.42,0.24,0.05,0.01,0.06,0.1,0.01,17.88,6.36,5.28,0.37,0.27,0.56,0.05,0.79,0.02,4.18,0.0,0.0,P. D. James,60,1980,25750.0,257.5,0.2142227250794496,8186.0,81.86,0.06810202825244173,7503.0,75.03,0.062419926457130494,23214.0,232.14,0.1931249064075473,14505.0,0.12067186902048219,0.09735278947105705,0.05977437979401341
13,2.0,2922.0,12.0,12.0,9589.0,13265.0,1562.0,6038.0,1559.0,16523.0,650.0,6.0,A Taste for Death.txt,537.0,19542.0,10983.0,393.0,217.0,3693.0,3500.0,15.36556461352657,24718.0,7699.0,27.0,4929.0,332.0,93.0,1350.0,17854.0,4201.0,11906.0,341.0,64.0,829.0,4600.0,0.07682413602464148,78.0,7786.0,13618.0,7823.0,14038.0,3127.0,5151.0,2986.0,2230.0,599.0,951.0,35.0,1084.0,177262.0,72.0,3.0,1,171711,57.66,78.43,8.58,29.2,12.94,17.19,87.16,56.02,16.43,11.1,1.97,0.42,1.3,6.51,0.91,5.32,7.87,13.16,9.83,4.5,6.2,2.32,18.26,4.51,2.25,1.6,1.3,1.56,4.7,2.41,2.2,0.49,0.63,0.52,14.2,0.59,0.18,3.14,4.62,12.19,2.73,1.0,2.43,2.93,1.35,3.73,3.8,1.56,1.35,0.71,2.19,1.11,0.5,0.12,0.48,5.72,1.37,0.9,2.48,0.95,0.49,8.79,6.81,1.16,13.3,1.88,6.98,4.74,1.54,0.68,0.91,0.36,0.37,0.54,0.38,0.05,0.01,0.1,0.19,0.04,20.88,6.88,5.58,0.66,0.17,0.85,0.04,0.58,0.09,6.01,0.01,0.01,P. D. James,66,1986,37373.0,373.73,0.21083480949103586,11593.0,115.93,0.06540036781712945,12311.0,123.11,0.06945086933465718,35355.0,353.55,0.1994505308526362,22055.0,0.12442034953910032,0.07682413602464148,0.0439236835870068
5,0.0,1187.0,3.0,3.0,5362.0,6468.0,861.0,3554.0,885.0,9506.0,350.0,6.0,The Children of Men.txt,244.0,10582.0,6320.0,265.0,170.0,1937.0,1929.0,16.66656341954468,13405.0,3170.0,19.0,3548.0,95.0,63.0,602.0,8469.0,2167.0,5790.0,193.0,40.0,490.0,2389.0,0.11186987042181834,18.0,6444.0,10550.0,4263.0,6725.0,1845.0,2588.0,1750.0,1271.0,354.0,506.0,18.0,471.0,94306.0,8.0,3.0,1,92030,68.7,75.09,15.45,30.16,14.24,17.17,86.21,54.68,14.76,10.23,2.1,0.78,1.0,4.93,1.42,4.52,8.63,13.39,9.01,4.06,6.17,2.14,17.01,4.57,2.26,1.53,1.52,1.61,4.92,2.54,2.28,0.61,0.52,0.49,12.59,0.39,0.12,1.57,4.04,11.15,2.43,1.09,2.24,2.56,1.26,3.32,3.89,1.56,1.31,0.88,2.44,1.27,0.56,0.14,0.47,6.43,1.62,1.07,2.53,1.08,0.68,7.64,7.04,1.35,14.23,2.16,7.31,5.08,1.24,0.67,0.65,0.27,0.4,0.34,0.26,0.05,0.01,0.06,0.11,0.03,19.37,6.38,5.83,0.59,0.22,0.62,0.04,0.9,0.02,4.76,0.01,0.0,P. D. James,72,1992,20142.0,201.42,0.21358132038258434,6755.0,67.55,0.07162852840752444,6023.0,60.23,0.06386656204271202,18442.0,184.42,0.1955548957648506,10636.0,0.11278179543189193,0.11186987042181834,0.06833075308039785
