,Index,P-Value,RSquared
0,Days,0.0,1.0
1,TTR,0.015726784903622473,0.20986521566590768
2,WordCount,0.01433840451970802,-0.2127077264374088
3,UniqueWords,0.002863522092620317,-0.2576064974583748
4,MLU,0.0015980558819018642,-0.2721026032726932
5,Fillers,2.3576668265939465e-05,-0.35906712683691194
6,NSNouns,0.31838041949475393,-0.0875122084135463
7,LIVerbs,0.016246343519928024,-0.2088574444461615
8,",",0.014461295121179468,-0.2124466734138747
9,.,0.13017415826344864,-0.13240457075319723
10,:,5.094190118586046e-13,-0.5758010066388091
11,CC,0.0003740626597916672,-0.3051443249913036
12,CD,0.5955615961673135,-0.04661794362828006
13,DT,0.02188714720609733,-0.199409302023987
14,EX,7.752677673560864e-05,-0.33705548383941486
15,IN,0.008452400003029844,-0.22834705547011683
16,JJ,0.017697158867470583,-0.20618457453895916
17,JJR,0.4935809796019769,-0.060106682167028386
18,JJS,0.6528505502342605,-0.039511064613631054
19,MD,0.021339062865651695,-0.20022834719940222
20,NN,0.023149760354160952,-0.1975875791443802
21,NNP,0.0019356765215218345,-0.26742578874572953
22,NNPS,0.21563100572952823,-0.1084874788401924
23,NNS,0.04195446651749832,-0.1773155846688444
24,PRP,0.03959999467781949,-0.17936761943095259
25,PRP$,0.0066499565442208475,-0.2351284246943689
26,RB,0.017733321964559835,-0.20612041317959134
27,RBR,0.2925117340578721,-0.09230161950280501
28,RBS,0.19141086079373115,-0.11442343669166859
29,RP,0.0021425805802457905,-0.26491414660283774
30,TO,0.03645748504771089,-0.18227230553749713
31,UH,0.2580637104940121,-0.09913934039421238
32,VB,0.03503886240487404,-0.18365315857771242
33,VBD,0.014578780117100988,-0.21219890500799993
34,VBG,0.23918205996055455,-0.10315520736353126
35,VBN,0.03444668844022857,-0.18424355555057365
36,VBP,0.06274734775114968,-0.16244474961475736
37,VBZ,0.07109945936020522,-0.15760701733489768
38,WDT,0.046544515152323745,-0.17357747880406094
39,WP,0.06348352758549708,-0.1619979166160745
40,WRB,0.09950839060817519,-0.14399533111738216
41,'',0.031053806406713128,0.1878018899289368
42,POS,0.8353084147550323,0.018267456165433925
43,``,0.0307252274852056,0.18816374761169358
44,PDT,0.7133668000891129,0.032271290892789496
45,WP$,0.0869141902254961,-0.14958539039154561
46,$,0.9228813700466355,-0.00850653639560763
47,FW,0.006939077377509932,-0.23393849872210287
48,SYM,0.43340258653615016,-0.06875790980359396
