,Index,P-Value,RSquared
0,Days,0.0,1.0
1,TTR,0.25691519531606555,-0.1725885780851985
2,WordCount,0.01414764608136127,-0.36337208456681197
3,UniqueWords,3.2093716576807866e-05,-0.5780188315966925
4,MLU,0.23364794110595502,-0.18117030587473673
5,Fillers,0.6166644515366759,-0.07667005534914183
6,NSNouns,0.10513719025664878,0.24475880419846313
7,LIVerbs,0.1271540150247079,-0.23080863747575758
8,'',0.4614419828657025,0.11260597991442506
9,",",0.017024707435849804,-0.35406535289768043
10,.,0.09171119645395494,-0.25440334150806365
11,:,0.16116400845321208,0.21245897539693848
12,CC,0.7517117070463549,0.048500666125607765
13,CD,0.03954781175470801,-0.3080171054683798
14,DT,0.001998349910429063,-0.4485718822112744
15,EX,0.20226073786252435,-0.19373098466016814
16,IN,0.0037042916394937286,-0.4239679829279412
17,JJ,0.00026703945640716223,-0.5180958785522995
18,JJR,0.6758872952404826,-0.06406260144820188
19,JJS,0.7218766466562782,-0.05455788413817968
20,MD,0.1728550422654397,-0.20681215402539233
21,NN,1.2535274525929525e-05,-0.6012907732813771
22,NNP,0.015532252605589042,-0.358710505171358
23,NNPS,0.8054538895105167,-0.03776511772110414
24,NNS,0.0077349558682736075,-0.39203896814655254
25,PDT,0.3667034385261497,0.1377955639251389
26,POS,0.7430593175457583,-0.050249383892302615
27,PRP,0.44745081653769403,0.1161291070549876
28,PRP$,0.34505079979815734,-0.14407596628218547
29,RB,0.6540703055091992,-0.06865403938609971
30,RBR,0.13742152613942624,-0.22492042199025217
31,RBS,0.7653751481750664,0.04575144226394257
32,RP,0.29099741257143696,-0.16090909721413907
33,TO,0.2837961828336616,-0.16329876131102286
34,UH,0.7258882978467087,-0.05373882266309979
35,VB,0.2661630396587203,-0.16932295099441533
36,VBD,0.0714451770552452,0.2712909351228114
37,VBG,0.11889616204886543,-0.23580899329685445
38,VBN,0.0149234930650056,-0.36071464040824247
39,VBP,0.011729074731181476,-0.3725393664563314
40,VBZ,0.00023834687241415544,-0.5216145183829667
41,WDT,3.3216648965251765e-05,-0.5771326214860182
42,WP,0.13859780140241518,-0.22426703335012077
43,WRB,0.29664652971302,0.15906121863428213
44,``,0.4405868647363741,0.11787955989573881
45,$,0.6730104816432972,0.06466477472652421
46,FW,0.007089683674315542,0.39597908055619246
47,WP$,0.03308595846974206,-0.31831916148333
48,Segment,1.0,
49,WC,0.011956663732838315,-0.37161116014945034
50,Analytic,4.24309986300021e-06,-0.6260174324937574
51,Clout,0.012613995744560619,0.369012592003442
52,Authentic,0.07859854446468341,-0.2649452095851571
53,Tone,0.5051457299968686,-0.10195293365314506
54,WPS,0.19306234276825998,-0.19766856079252706
55,Sixltr,0.002895106652489668,-0.43401152451838737
56,Dic,0.0005522501328352681,0.4946553927031933
57,function,4.7110830524612414e-07,0.670376526543075
58,pronoun,8.449850188015742e-06,0.6105378935042667
59,ppron,8.66672904892742e-08,0.7001122855052723
60,i,0.13072711125905978,0.22872050019806717
61,we,0.0772611185674015,0.2660960552447272
62,you,0.9262373808037296,0.014199886736583699
63,shehe,0.00018419115851469063,0.5294536672832115
64,they,0.01716100518931012,0.3536585400651464
65,ipron,0.1608202756722143,0.21262944001021503
66,article,0.00048306215587901887,-0.4991020744826317
67,prep,0.05146563464077801,-0.2921794292910079
68,auxverb,0.22433882139444727,0.18476705861555795
69,adverb,0.026607333657511917,0.3304768316030492
70,conj,1.7577554301561423e-06,0.6446690798003327
71,negate,0.05323711182423596,0.290086788524643
72,verb,0.02605091968339585,0.33163219756847767
73,adj,0.4687574563916186,0.11078683235566576
74,compare,0.3548248995245975,0.14121211975228992
75,interrog,0.9058135151774562,0.018147449741841033
76,number,0.02191425737161282,-0.3409358043030571
77,quant,0.650188519704949,0.06947713828452369
78,affect,0.2095324485982261,0.19070641085429452
79,posemo,0.5832410209282408,0.08400811479683082
80,negemo,0.2552319914148162,0.17319136755611003
81,anx,0.1091004329526006,0.24209359643228812
82,anger,0.10794706585936892,0.24286147771543345
83,sad,0.1535736893295283,-0.21628674329222877
84,social,9.5421364869793e-08,0.6985128717013972
85,family,0.6520280655170352,0.06908683827112097
86,friend,0.23373071924788674,-0.1811387675661559
87,female,0.6864231006287587,-0.06186531280219234
88,male,2.353053193895054e-05,0.5859019284261261
89,cogproc,0.030577323476909037,0.3227705467077678
90,insight,0.8410187670726127,-0.0307608230406192
91,cause,0.20824567521645249,-0.19123621501420432
92,discrep,0.12751271357893557,0.23059704036863313
93,tentat,0.550430272460085,0.09139804700823995
94,certain,0.002548680804961908,0.4390891416029453
95,differ,0.008641633423815237,0.3869574078027212
96,percept,0.185340922081879,0.2010778246472851
97,see,0.5312615688716401,-0.09581175729003005
98,hear,0.00874932135040387,0.3863848167276367
99,feel,0.43074883754945203,0.12041500644998845
100,bio,0.7038602801825875,-0.05825530214821086
101,body,0.04353383413515794,0.3023330855347351
102,health,0.1810344168404307,-0.20302346504420454
103,sexual,0.6153963431429812,-0.0769452786150363
