,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,.,CC,CD,DT,IN,JJ,NN,NNS,PDT,POS,PRP,RB,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WP,",",EX,PRP$,UH,JJR,MD,WDT,WRB,RBR,NNP,JJS,'',$
0,051-0.flo.cex,0.59375,96.0,57.0,7.857142857142857,1.0,1.0,4.0,14.0,6.0,2.0,14.0,10.0,3.0,17.0,1.0,1.0,1.0,7.0,5.0,2.0,3.0,5.0,1.0,5.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,607-0.flo.cex,0.5405405405405406,111.0,60.0,8.533333333333333,0.0,1.0,2.0,15.0,5.0,0.0,18.0,8.0,8.0,22.0,3.0,0.0,3.0,8.0,5.0,3.0,3.0,4.0,3.0,4.0,0.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,474-0.flo.cex,0.8085106382978723,47.0,38.0,7.857142857142857,2.0,0.0,2.0,7.0,1.0,0.0,7.0,4.0,0.0,11.0,2.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,511-0.flo.cex,0.6379310344827587,58.0,37.0,6.2727272727272725,3.0,0.0,4.0,11.0,4.0,0.0,9.0,1.0,1.0,5.0,1.0,0.0,1.0,9.0,5.0,2.0,2.0,4.0,0.0,2.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,030-1.flo.cex,0.5159574468085106,188.0,97.0,16.666666666666668,0.0,0.0,4.0,12.0,15.0,3.0,26.0,23.0,4.0,30.0,4.0,1.0,0.0,13.0,4.0,3.0,4.0,6.0,1.0,10.0,3.0,5.0,19.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
5,087-1.flo.cex,0.7105263157894737,76.0,54.0,8.0,2.0,1.0,8.0,11.0,0.0,0.0,6.0,8.0,1.0,11.0,2.0,0.0,0.0,11.0,11.0,2.0,1.0,5.0,1.0,1.0,2.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,033-1.flo.cex,0.603448275862069,58.0,35.0,5.461538461538462,0.0,0.0,2.0,13.0,2.0,0.0,8.0,7.0,0.0,13.0,5.0,0.0,3.0,3.0,5.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,007-1.flo.cex,0.4375,112.0,49.0,10.333333333333334,1.0,0.0,1.0,12.0,14.0,0.0,21.0,12.0,1.0,20.0,4.0,0.0,3.0,7.0,4.0,1.0,1.0,2.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,476-0.flo.cex,0.6259541984732825,131.0,82.0,7.894736842105263,1.0,0.0,3.0,19.0,2.0,1.0,14.0,12.0,6.0,19.0,6.0,0.0,1.0,16.0,9.0,1.0,1.0,2.0,3.0,8.0,1.0,5.0,15.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
9,334-0.flo.cex,0.4418604651162791,215.0,95.0,7.967741935483871,0.0,1.0,3.0,31.0,5.0,0.0,29.0,16.0,7.0,55.0,5.0,0.0,11.0,19.0,4.0,3.0,4.0,4.0,5.0,12.0,0.0,4.0,18.0,1.0,1.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
