"","Player","Year","Pos","TS.","AST.","FG.","FT.","X3P.","X2P.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","Player_year","randomPart_euclidean_12"
"1","Tariq Abdul-Wahad",2000,"SG",0.477,10,0.424,0.756,0.13,0.435,2.3,4.3,2.2,1.3,0.6,2.4,3.4,15.9,"Tariq Abdul-Wahad-2000",6
"2","Shareef Abdur-Rahim",2000,"SF",0.547,15.5,0.465,0.809,0.302,0.478,2.4,6.8,3,1,1,2.8,2.7,18.6,"Shareef Abdur-Rahim-2000",12
"3","Cory Alexander",2000,"PG",0.381,25.7,0.286,0.773,0.257,0.302,0.9,3.7,6.3,2.6,0.2,3.1,4.3,9,"Cory Alexander-2000",5
"4","Ray Allen",2000,"SG",0.57,17,0.455,0.887,0.423,0.468,1,3.2,3.6,1.3,0.2,2.1,2.2,21.2,"Ray Allen-2000",4
"5","Rafer Alston",2000,"PG",0.31,26.8,0.284,0.75,0.214,0.296,0.5,1.8,7,1.2,0,2.9,2.9,6,"Rafer Alston-2000",5
"6","John Amaechi",2000,"C",0.505,9.1,0.437,0.766,0.167,0.439,1.3,4.4,2,0.7,0.8,3,3.4,17.9,"John Amaechi-2000",4
"7","Derek Anderson",2000,"SG",0.542,17.9,0.438,0.877,0.309,0.472,1.3,2.9,3.6,1.5,0.2,2.7,2.4,17.7,"Derek Anderson-2000",4
"8","Kenny Anderson",2000,"PG",0.524,26.7,0.44,0.775,0.386,0.456,0.8,2.4,5.8,1.9,0.1,1.8,3.2,16,"Kenny Anderson-2000",2
"9","Nick Anderson",2000,"SG",0.479,8.6,0.391,0.487,0.332,0.452,1.4,4.4,2.1,1.6,0.3,1.6,2,13.4,"Nick Anderson-2000",6
"10","Shandon Anderson",2000,"SF",0.567,14.3,0.473,0.767,0.351,0.523,1.2,3.9,3.2,1.3,0.4,2.6,2.4,13.5,"Shandon Anderson-2000",4
"11","Chris Anstey",2000,"C",0.512,13.2,0.442,0.789,0.167,0.447,3.2,6.8,2.3,1,0.9,2.9,6.4,15.7,"Chris Anstey-2000",8
"12","Greg Anthony",2000,"PG",0.551,20.5,0.406,0.772,0.378,0.443,0.4,2.7,4.8,1.4,0.2,2,3.3,12,"Greg Anthony-2000",2
"13","B.J. Armstrong",2000,"PG",0.51,26.5,0.446,0.88,0.448,0.446,0.1,2.8,4.8,0.4,0.1,2.5,2.1,12.4,"B.J. Armstrong-2000",2
"14","Darrell Armstrong",2000,"PG",0.542,31.4,0.433,0.911,0.34,0.485,0.9,2.8,7,2.3,0.1,3.4,1.9,18.5,"Darrell Armstrong-2000",10
"15","Chucky Atkins",2000,"PG",0.489,30.9,0.424,0.729,0.35,0.445,0.4,2.3,6.8,1.2,0.1,3.1,3,17.3,"Chucky Atkins-2000",10
"16","Stacey Augmon",2000,"SG",0.51,11.9,0.474,0.673,0,0.48,2.2,3.8,2.8,1.4,0.6,2,3.6,10.6,"Stacey Augmon-2000",6
"17","Isaac Austin",2000,"C",0.481,10,0.429,0.686,0.25,0.431,2,6.7,2.3,0.5,1.2,3.3,3.9,12.2,"Isaac Austin-2000",9
"19","William Avery",2000,"PG",0.391,26.2,0.309,0.667,0.286,0.322,0.6,2.4,6.5,1,0.1,3.1,4.5,11.5,"William Avery-2000",5
"20","Toby Bailey",2000,"SG",0.483,10.3,0.414,0.692,0.2,0.431,2.1,3.7,2.4,1,0.3,1.9,4.4,13.1,"Toby Bailey-2000",3
"21","Vin Baker",2000,"C",0.5,8.6,0.455,0.682,0.25,0.457,2.9,4.8,1.9,0.6,0.8,2.7,3.6,16.6,"Vin Baker-2000",9
"22","Charles Barkley*",2000,"PF",0.534,17.3,0.477,0.645,0.231,0.51,4.1,8,3.7,0.8,0.2,2.6,2.8,16.8,"Charles Barkley*-2000",12
"23","Dana Barros",2000,"PG",0.552,19.4,0.451,0.868,0.41,0.471,0.4,2.7,4.2,1,0.1,2.1,2.5,16.3,"Dana Barros-2000",2
"24","Brent Barry",2000,"SG",0.609,16,0.463,0.809,0.411,0.529,0.7,4.3,3.8,1.4,0.4,1.9,3,12.5,"Brent Barry-2000",11
"26","Jon Barry",2000,"SG",0.623,16.7,0.465,0.922,0.429,0.495,1.1,3.4,4.2,2.1,0.2,2.4,2.9,13.9,"Jon Barry-2000",4
"27","Tony Battie",2000,"C",0.515,6.7,0.477,0.675,0.125,0.483,3.6,6.2,1.5,1.1,1.7,1.6,6,12.9,"Tony Battie-2000",8
"28","Jonathan Bender",2000,"SF",0.397,3.9,0.329,0.667,0.167,0.362,1.1,4.7,0.8,0.3,1.4,1.9,5,17.7,"Jonathan Bender-2000",1
"30","Corey Benjamin",2000,"SG",0.479,13.1,0.414,0.598,0.348,0.437,0.9,2.8,2.3,1.3,0.9,3.1,5.1,15.5,"Corey Benjamin-2000",6
"32","Travis Best",2000,"PG",0.569,26.3,0.483,0.821,0.376,0.504,0.3,2.7,5.8,1.6,0.1,2.3,4.3,15.6,"Travis Best-2000",2
