,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$,Segment_x,WC_x,Analytic_x,Clout_x,Authentic_x,Tone_x,WPS_x,Sixltr_x,Dic_x,function_x,pronoun_x,ppron_x,i_x,we_x,you_x,shehe_x,they_x,ipron_x,article_x,prep_x,auxverb_x,adverb_x,conj_x,negate_x,verb_x,adj_x,compare_x,interrog_x,number_x,quant_x,affect_x,posemo_x,negemo_x,anx_x,anger_x,sad_x,social_x,family_x,friend_x,female_x,male_x,cogproc_x,insight_x,cause_x,discrep_x,tentat_x,certain_x,differ_x,percept_x,see_x,hear_x,feel_x,bio_x,body_x,health_x,sexual_x,ingest_x,drives_x,affiliation_x,achieve_x,power_x,reward_x,risk_x,focuspast_x,focuspresent_x,focusfuture_x,relativ_x,motion_x,space_x,time_x,work_x,leisure_x,home_x,money_x,relig_x,death_x,informal_x,swear_x,netspeak_x,assent_x,nonflu_x,filler_x,AllPunc_x,Period_x,Comma_x,Colon_x,SemiC_x,QMark_x,Exclam_x,Dash_x,Quote_x,Apostro_x,Parenth_x,OtherP_x,Segment_y,WC_y,Analytic_y,Clout_y,Authentic_y,Tone_y,WPS_y,Sixltr_y,Dic_y,function_y,pronoun_y,ppron_y,i_y,we_y,you_y,shehe_y,they_y,ipron_y,article_y,prep_y,auxverb_y,adverb_y,conj_y,negate_y,verb_y,adj_y,compare_y,interrog_y,number_y,quant_y,affect_y,posemo_y,negemo_y,anx_y,anger_y,sad_y,social_y,family_y,friend_y,female_y,male_y,cogproc_y,insight_y,cause_y,discrep_y,tentat_y,certain_y,differ_y,percept_y,see_y,hear_y,feel_y,bio_y,body_y,health_y,sexual_y,ingest_y,drives_y,affiliation_y,achieve_y,power_y,reward_y,risk_y,focuspast_y,focuspresent_y,focusfuture_y,relativ_y,motion_y,space_y,time_y,work_y,leisure_y,home_y,money_y,relig_y,death_y,informal_y,swear_y,netspeak_y,assent_y,nonflu_y,filler_y,AllPunc_y,Period_y,Comma_y,Colon_y,SemiC_y,QMark_y,Exclam_y,Dash_y,Quote_y,Apostro_y,Parenth_y,OtherP_y
0,Bush - Speech122 - Edited.txt,0.21707884168251956,4731.0,1027.0,16.054054054054053,9.0,12.0,149.0,2.0,21.0,273.0,333.0,31.0,150.0,36.0,509.0,15.0,460.0,238.0,10.0,7.0,98.0,521.0,156.0,15.0,163.0,4.0,14.0,539.0,49.0,270.0,6.0,3.0,33.0,160.0,8.0,309.0,104.0,126.0,97.0,321.0,143.0,37.0,35.0,29.0,21.0,0.0,0.0,0.0,1,4439,44.05,59.25,68.96,69.91,13.29,16.63,90.22,57.76,19.37,11.22,6.06,2.21,1.42,0.77,0.77,8.15,7.28,13.25,11.42,4.66,6.01,2.1,22.91,3.22,1.85,1.51,1.1,1.98,5.16,3.69,1.35,0.23,0.54,0.2,10.25,0.11,0.11,0.05,0.88,12.64,3.33,1.67,1.78,3.06,1.19,3.38,2.43,1.04,0.97,0.38,0.29,0.05,0.16,0.05,0.02,10.93,3.4,2.16,3.65,2.52,0.63,4.26,15.75,2.66,13.74,3.42,7.64,3.0,3.45,0.36,0.38,1.46,0.07,0.14,0.59,0.0,0.02,0.16,0.25,0.02,20.97,7.1,6.15,0.18,0.18,0.52,0.0,0.59,0.95,5.14,0.0,0.18,1,4439,44.05,59.25,68.96,69.91,13.29,16.63,90.22,57.76,19.37,11.22,6.06,2.21,1.42,0.77,0.77,8.15,7.28,13.25,11.42,4.66,6.01,2.1,22.91,3.22,1.85,1.51,1.1,1.98,5.16,3.69,1.35,0.23,0.54,0.2,10.25,0.11,0.11,0.05,0.88,12.64,3.33,1.67,1.78,3.06,1.19,3.38,2.43,1.04,0.97,0.38,0.29,0.05,0.16,0.05,0.02,10.93,3.4,2.16,3.65,2.52,0.63,4.26,15.75,2.66,13.74,3.42,7.64,3.0,3.45,0.36,0.38,1.46,0.07,0.14,0.59,0.0,0.02,0.16,0.25,0.02,20.97,7.1,6.15,0.18,0.18,0.52,0.0,0.59,0.95,5.14,0.0,0.18
1,Bush - Speech133 - Edited.txt,0.2835820895522388,1474.0,418.0,16.5,3.0,7.0,60.0,0.0,3.0,75.0,100.0,13.0,54.0,6.0,148.0,10.0,145.0,72.0,3.0,1.0,27.0,128.0,55.0,0.0,48.0,0.0,6.0,175.0,12.0,116.0,2.0,0.0,4.0,57.0,1.0,96.0,53.0,39.0,33.0,91.0,46.0,5.0,13.0,10.0,3.0,0.0,0.0,0.0,1,1382,23.24,64.41,52.31,61.45,13.82,15.99,93.63,61.43,20.77,11.58,5.64,2.82,0.72,1.23,1.16,9.19,5.86,12.45,13.82,6.37,6.01,2.53,23.08,3.18,1.23,1.88,0.65,2.46,4.2,3.04,1.16,0.22,0.58,0.22,12.3,0.0,0.0,0.0,1.3,13.24,2.68,1.52,2.1,3.62,1.23,3.98,1.95,0.72,1.01,0.29,0.43,0.07,0.14,0.0,0.22,13.02,4.2,2.53,5.28,1.81,0.43,5.72,15.12,2.03,12.37,2.32,6.73,3.69,3.26,0.29,0.22,0.14,0.0,0.07,0.72,0.0,0.0,0.22,0.51,0.0,19.61,7.02,5.43,0.07,0.07,0.22,0.0,0.94,0.43,5.43,0.0,0.0,1,1382,23.24,64.41,52.31,61.45,13.82,15.99,93.63,61.43,20.77,11.58,5.64,2.82,0.72,1.23,1.16,9.19,5.86,12.45,13.82,6.37,6.01,2.53,23.08,3.18,1.23,1.88,0.65,2.46,4.2,3.04,1.16,0.22,0.58,0.22,12.3,0.0,0.0,0.0,1.3,13.24,2.68,1.52,2.1,3.62,1.23,3.98,1.95,0.72,1.01,0.29,0.43,0.07,0.14,0.0,0.22,13.02,4.2,2.53,5.28,1.81,0.43,5.72,15.12,2.03,12.37,2.32,6.73,3.69,3.26,0.29,0.22,0.14,0.0,0.07,0.72,0.0,0.0,0.22,0.51,0.0,19.61,7.02,5.43,0.07,0.07,0.22,0.0,0.94,0.43,5.43,0.0,0.0
2,Bush - Speech83 - Edited.txt,0.36729663105998356,1217.0,447.0,17.55128205128205,3.0,3.0,41.0,1.0,0.0,73.0,78.0,20.0,54.0,16.0,131.0,8.0,137.0,74.0,1.0,1.0,35.0,130.0,79.0,4.0,36.0,1.0,3.0,120.0,14.0,71.0,1.0,0.0,7.0,30.0,0.0,70.0,18.0,17.0,23.0,61.0,38.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,1,1156,39.79,71.89,53.6,82.91,14.82,18.17,87.98,57.61,18.25,9.78,3.89,3.2,1.64,0.43,0.61,8.48,6.57,12.54,11.76,5.36,6.23,2.08,18.86,3.63,1.21,0.95,1.9,3.46,4.24,3.72,0.52,0.09,0.09,0.0,10.47,0.0,0.26,0.0,0.69,13.58,3.81,0.69,1.99,4.41,1.56,3.55,1.73,0.43,0.78,0.69,0.78,0.09,0.17,0.0,0.52,10.21,4.33,1.21,2.94,1.82,0.43,2.51,13.24,1.9,12.72,1.56,8.04,3.03,2.34,0.17,0.69,0.52,0.78,0.0,0.35,0.0,0.0,0.26,0.09,0.0,19.55,6.57,6.31,0.09,0.09,0.43,0.0,1.99,0.0,3.98,0.0,0.09,1,1156,39.79,71.89,53.6,82.91,14.82,18.17,87.98,57.61,18.25,9.78,3.89,3.2,1.64,0.43,0.61,8.48,6.57,12.54,11.76,5.36,6.23,2.08,18.86,3.63,1.21,0.95,1.9,3.46,4.24,3.72,0.52,0.09,0.09,0.0,10.47,0.0,0.26,0.0,0.69,13.58,3.81,0.69,1.99,4.41,1.56,3.55,1.73,0.43,0.78,0.69,0.78,0.09,0.17,0.0,0.52,10.21,4.33,1.21,2.94,1.82,0.43,2.51,13.24,1.9,12.72,1.56,8.04,3.03,2.34,0.17,0.69,0.52,0.78,0.0,0.35,0.0,0.0,0.26,0.09,0.0,19.55,6.57,6.31,0.09,0.09,0.43,0.0,1.99,0.0,3.98,0.0,0.09
3,Bush - Speech17 - Edited.txt,0.27467811158798283,2796.0,768.0,20.72,12.0,7.0,117.0,2.0,0.0,160.0,150.0,46.0,120.0,18.0,296.0,12.0,298.0,131.0,5.0,3.0,64.0,290.0,133.0,5.0,79.0,0.0,8.0,292.0,19.0,206.0,2.0,1.0,13.0,87.0,0.0,175.0,62.0,68.0,68.0,148.0,89.0,21.0,26.0,10.0,0.0,1.0,0.0,0.0,1,2630,39.39,40.08,55.71,63.98,17.53,17.64,90.0,60.04,18.06,9.81,6.08,1.71,1.1,0.46,0.46,8.25,7.38,13.27,11.67,5.48,7.38,2.78,21.71,3.08,1.6,1.71,0.8,2.43,5.7,3.69,1.67,0.11,0.46,0.38,8.02,0.04,0.0,0.0,0.65,14.87,3.61,1.63,2.66,3.27,1.33,4.49,2.17,0.95,0.57,0.53,0.57,0.19,0.27,0.0,0.11,8.48,2.24,2.17,2.66,1.94,0.76,3.65,14.87,1.86,10.8,2.17,6.43,2.47,2.93,0.3,0.27,0.99,0.04,0.0,0.49,0.0,0.04,0.0,0.46,0.0,18.52,5.67,6.08,0.08,0.34,0.11,0.0,1.52,0.0,4.37,0.0,0.34,1,2630,39.39,40.08,55.71,63.98,17.53,17.64,90.0,60.04,18.06,9.81,6.08,1.71,1.1,0.46,0.46,8.25,7.38,13.27,11.67,5.48,7.38,2.78,21.71,3.08,1.6,1.71,0.8,2.43,5.7,3.69,1.67,0.11,0.46,0.38,8.02,0.04,0.0,0.0,0.65,14.87,3.61,1.63,2.66,3.27,1.33,4.49,2.17,0.95,0.57,0.53,0.57,0.19,0.27,0.0,0.11,8.48,2.24,2.17,2.66,1.94,0.76,3.65,14.87,1.86,10.8,2.17,6.43,2.47,2.93,0.3,0.27,0.99,0.04,0.0,0.49,0.0,0.04,0.0,0.46,0.0,18.52,5.67,6.08,0.08,0.34,0.11,0.0,1.52,0.0,4.37,0.0,0.34
4,Bush - Speech8 - edited.txt,0.28194800439399487,2731.0,770.0,15.300492610837438,14.0,13.0,118.0,0.0,3.0,170.0,203.0,48.0,99.0,24.0,294.0,14.0,284.0,152.0,6.0,10.0,60.0,309.0,89.0,3.0,71.0,3.0,8.0,312.0,18.0,198.0,3.0,2.0,17.0,80.0,7.0,140.0,79.0,72.0,57.0,145.0,81.0,11.0,16.0,14.0,3.0,1.0,0.0,0.0,1,2549,36.41,52.82,77.14,72.09,12.56,14.67,91.96,60.14,18.6,10.08,5.34,1.8,1.33,0.9,0.71,8.51,7.26,13.5,12.36,6.75,6.51,2.35,22.17,3.81,1.61,1.65,1.18,2.31,4.83,3.57,1.1,0.24,0.31,0.08,9.3,0.12,0.24,0.39,1.02,14.01,3.53,1.65,1.45,2.9,1.61,3.96,2.04,0.75,0.67,0.63,0.9,0.35,0.31,0.04,0.27,8.04,2.2,1.1,2.67,2.08,0.63,5.06,13.46,2.12,14.99,2.59,7.89,4.75,2.59,0.9,0.47,0.39,0.04,0.0,0.94,0.08,0.08,0.24,0.55,0.0,22.91,7.1,6.67,0.08,0.12,0.82,0.04,2.39,0.24,5.45,0.0,0.0,1,2549,36.41,52.82,77.14,72.09,12.56,14.67,91.96,60.14,18.6,10.08,5.34,1.8,1.33,0.9,0.71,8.51,7.26,13.5,12.36,6.75,6.51,2.35,22.17,3.81,1.61,1.65,1.18,2.31,4.83,3.57,1.1,0.24,0.31,0.08,9.3,0.12,0.24,0.39,1.02,14.01,3.53,1.65,1.45,2.9,1.61,3.96,2.04,0.75,0.67,0.63,0.9,0.35,0.31,0.04,0.27,8.04,2.2,1.1,2.67,2.08,0.63,5.06,13.46,2.12,14.99,2.59,7.89,4.75,2.59,0.9,0.47,0.39,0.04,0.0,0.94,0.08,0.08,0.24,0.55,0.0,22.91,7.1,6.67,0.08,0.12,0.82,0.04,2.39,0.24,5.45,0.0,0.0
5,Bush - Speech131 - Edited.txt,0.28842412451361865,2056.0,593.0,16.73913043478261,1.0,6.0,89.0,0.0,3.0,115.0,138.0,14.0,77.0,11.0,203.0,20.0,206.0,109.0,7.0,0.0,29.0,205.0,81.0,9.0,77.0,2.0,6.0,227.0,10.0,155.0,2.0,0.0,9.0,81.0,3.0,136.0,40.0,58.0,51.0,128.0,70.0,4.0,8.0,14.0,2.0,0.0,0.0,0.0,1,1940,32.73,44.68,68.65,44.66,13.96,18.09,89.9,58.14,17.89,9.85,5.1,2.22,1.13,0.41,0.98,8.04,5.88,12.84,11.91,5.62,7.06,3.45,22.84,5.36,2.01,1.29,0.77,2.06,4.95,2.89,1.86,0.26,0.67,0.21,8.87,0.0,0.0,0.31,0.21,17.11,4.48,2.53,2.73,2.84,1.8,5.0,1.65,0.52,0.82,0.26,0.67,0.31,0.36,0.0,0.05,10.05,2.89,2.01,3.09,1.7,1.03,3.56,16.03,2.06,12.47,2.37,7.06,3.45,2.78,0.15,0.05,0.31,0.05,0.31,0.57,0.0,0.05,0.21,0.26,0.0,19.64,7.32,5.93,0.0,0.21,0.1,0.0,0.57,0.21,5.1,0.0,0.21,1,1940,32.73,44.68,68.65,44.66,13.96,18.09,89.9,58.14,17.89,9.85,5.1,2.22,1.13,0.41,0.98,8.04,5.88,12.84,11.91,5.62,7.06,3.45,22.84,5.36,2.01,1.29,0.77,2.06,4.95,2.89,1.86,0.26,0.67,0.21,8.87,0.0,0.0,0.31,0.21,17.11,4.48,2.53,2.73,2.84,1.8,5.0,1.65,0.52,0.82,0.26,0.67,0.31,0.36,0.0,0.05,10.05,2.89,2.01,3.09,1.7,1.03,3.56,16.03,2.06,12.47,2.37,7.06,3.45,2.78,0.15,0.05,0.31,0.05,0.31,0.57,0.0,0.05,0.21,0.26,0.0,19.64,7.32,5.93,0.0,0.21,0.1,0.0,0.57,0.21,5.1,0.0,0.21
6,Bush - Speech107- Edited.txt,0.2532703488372093,2752.0,697.0,22.352941176470587,11.0,9.0,110.0,0.0,1.0,150.0,136.0,18.0,104.0,14.0,293.0,19.0,305.0,166.0,14.0,6.0,76.0,254.0,84.0,16.0,133.0,3.0,3.0,273.0,23.0,169.0,3.0,1.0,10.0,102.0,0.0,164.0,32.0,80.0,53.0,176.0,86.0,25.0,29.0,18.0,1.0,0.0,0.0,0.0,1,2640,37.28,63.63,46.62,79.59,19.41,16.82,91.52,60.8,19.43,9.58,4.58,2.5,0.98,0.68,0.83,9.77,6.48,14.2,12.84,6.17,6.36,1.36,21.67,4.77,2.42,1.89,0.72,2.54,5.91,4.32,1.36,0.04,0.27,0.61,8.86,0.04,0.15,0.0,0.72,11.97,3.11,1.29,1.89,2.2,1.7,2.88,2.31,0.8,0.64,0.64,0.38,0.08,0.15,0.0,0.15,8.98,3.18,1.67,2.61,2.05,1.02,2.73,15.15,3.18,12.5,2.65,7.16,3.03,3.6,0.19,0.11,2.12,0.08,0.08,0.42,0.04,0.0,0.0,0.38,0.0,15.87,5.27,5.68,0.08,0.11,0.11,0.0,0.72,0.08,3.83,0.0,0.0,1,2640,37.28,63.63,46.62,79.59,19.41,16.82,91.52,60.8,19.43,9.58,4.58,2.5,0.98,0.68,0.83,9.77,6.48,14.2,12.84,6.17,6.36,1.36,21.67,4.77,2.42,1.89,0.72,2.54,5.91,4.32,1.36,0.04,0.27,0.61,8.86,0.04,0.15,0.0,0.72,11.97,3.11,1.29,1.89,2.2,1.7,2.88,2.31,0.8,0.64,0.64,0.38,0.08,0.15,0.0,0.15,8.98,3.18,1.67,2.61,2.05,1.02,2.73,15.15,3.18,12.5,2.65,7.16,3.03,3.6,0.19,0.11,2.12,0.08,0.08,0.42,0.04,0.0,0.0,0.38,0.0,15.87,5.27,5.68,0.08,0.11,0.11,0.0,0.72,0.08,3.83,0.0,0.0
7,Bush - Speech22 - Edited.txt,0.2402458578300374,3742.0,899.0,19.70754716981132,20.0,13.0,172.0,0.0,0.0,214.0,212.0,67.0,183.0,25.0,371.0,32.0,405.0,202.0,15.0,7.0,98.0,380.0,149.0,9.0,111.0,1.0,5.0,368.0,40.0,296.0,5.0,1.0,23.0,114.0,2.0,256.0,60.0,76.0,62.0,214.0,101.0,29.0,28.0,16.0,0.0,0.0,1.0,0.0,1,3527,36.52,46.14,76.13,73.43,16.72,16.59,90.39,60.5,18.26,9.84,4.91,2.61,1.05,0.34,0.94,8.36,6.41,13.89,11.4,5.95,7.4,3.06,20.98,3.4,1.59,1.42,0.96,2.32,4.88,3.66,1.11,0.23,0.37,0.14,8.39,0.0,0.03,0.0,0.4,15.68,3.8,1.22,2.21,3.35,1.67,5.02,2.58,0.71,1.19,0.6,0.4,0.2,0.17,0.03,0.03,8.36,3.46,1.11,2.44,1.33,0.65,2.75,15.51,2.27,14.09,3.23,8.19,3.23,2.47,0.11,0.2,0.65,0.06,0.03,0.85,0.03,0.03,0.14,0.65,0.0,19.05,5.87,6.12,0.23,0.28,0.2,0.0,1.59,0.0,4.56,0.0,0.2,1,3527,36.52,46.14,76.13,73.43,16.72,16.59,90.39,60.5,18.26,9.84,4.91,2.61,1.05,0.34,0.94,8.36,6.41,13.89,11.4,5.95,7.4,3.06,20.98,3.4,1.59,1.42,0.96,2.32,4.88,3.66,1.11,0.23,0.37,0.14,8.39,0.0,0.03,0.0,0.4,15.68,3.8,1.22,2.21,3.35,1.67,5.02,2.58,0.71,1.19,0.6,0.4,0.2,0.17,0.03,0.03,8.36,3.46,1.11,2.44,1.33,0.65,2.75,15.51,2.27,14.09,3.23,8.19,3.23,2.47,0.11,0.2,0.65,0.06,0.03,0.85,0.03,0.03,0.14,0.65,0.0,19.05,5.87,6.12,0.23,0.28,0.2,0.0,1.59,0.0,4.56,0.0,0.2
8,Bush - Speech65 - Edited.txt,0.23187686196623636,4028.0,934.0,19.84070796460177,18.0,6.0,165.0,2.0,3.0,227.0,226.0,60.0,196.0,35.0,438.0,15.0,427.0,224.0,4.0,11.0,119.0,412.0,136.0,8.0,111.0,1.0,1.0,434.0,41.0,278.0,5.0,4.0,22.0,124.0,4.0,239.0,103.0,66.0,75.0,220.0,122.0,24.0,30.0,31.0,5.0,1.0,0.0,0.0,1,3829,30.34,50.21,51.9,57.88,16.79,16.06,90.91,61.45,19.14,10.08,5.51,1.7,1.25,0.97,0.65,9.06,6.84,12.56,12.48,5.38,8.1,2.45,20.11,3.4,1.72,1.88,1.12,2.64,4.6,3.13,1.44,0.21,0.55,0.34,9.35,0.16,0.24,0.0,1.18,16.14,4.18,2.25,2.35,3.71,1.96,4.26,1.88,0.76,0.6,0.34,0.39,0.08,0.18,0.03,0.1,8.91,2.4,1.91,3.55,1.46,0.47,4.05,13.66,2.04,10.66,1.67,6.32,2.79,2.3,0.16,0.13,0.76,0.03,0.08,0.71,0.03,0.08,0.29,0.26,0.03,18.18,5.85,5.93,0.08,0.31,0.34,0.0,1.65,0.16,3.55,0.0,0.31,1,3829,30.34,50.21,51.9,57.88,16.79,16.06,90.91,61.45,19.14,10.08,5.51,1.7,1.25,0.97,0.65,9.06,6.84,12.56,12.48,5.38,8.1,2.45,20.11,3.4,1.72,1.88,1.12,2.64,4.6,3.13,1.44,0.21,0.55,0.34,9.35,0.16,0.24,0.0,1.18,16.14,4.18,2.25,2.35,3.71,1.96,4.26,1.88,0.76,0.6,0.34,0.39,0.08,0.18,0.03,0.1,8.91,2.4,1.91,3.55,1.46,0.47,4.05,13.66,2.04,10.66,1.67,6.32,2.79,2.3,0.16,0.13,0.76,0.03,0.08,0.71,0.03,0.08,0.29,0.26,0.03,18.18,5.85,5.93,0.08,0.31,0.34,0.0,1.65,0.16,3.55,0.0,0.31
9,Bush - Speech64 - Edited.txt,0.24006163328197228,3245.0,779.0,16.901869158878505,9.0,5.0,144.0,0.0,0.0,151.0,214.0,37.0,124.0,28.0,342.0,19.0,336.0,160.0,3.0,9.0,79.0,323.0,142.0,18.0,111.0,2.0,8.0,336.0,25.0,210.0,2.0,1.0,13.0,126.0,6.0,217.0,51.0,53.0,72.0,203.0,121.0,17.0,36.0,21.0,0.0,0.0,0.0,1.0,1,3087,38.23,48.7,55.3,79.5,13.97,17.46,90.7,59.48,18.69,10.17,5.86,1.46,1.23,1.04,0.58,8.52,6.87,13.18,12.83,4.89,6.22,2.56,21.87,3.17,1.59,2.01,1.07,2.24,5.28,3.95,1.0,0.03,0.42,0.13,9.2,0.03,0.16,0.0,1.13,14.64,4.02,1.62,1.88,2.69,2.07,3.79,1.98,0.58,0.81,0.45,1.3,0.52,0.45,0.0,0.32,8.16,2.43,1.33,3.34,1.88,0.39,3.43,16.39,2.07,11.05,1.98,6.64,2.66,2.66,0.06,0.39,0.52,0.13,0.1,0.91,0.0,0.23,0.29,0.36,0.0,18.53,7.03,4.89,0.19,0.23,0.39,0.0,1.17,0.0,4.57,0.0,0.06,1,3087,38.23,48.7,55.3,79.5,13.97,17.46,90.7,59.48,18.69,10.17,5.86,1.46,1.23,1.04,0.58,8.52,6.87,13.18,12.83,4.89,6.22,2.56,21.87,3.17,1.59,2.01,1.07,2.24,5.28,3.95,1.0,0.03,0.42,0.13,9.2,0.03,0.16,0.0,1.13,14.64,4.02,1.62,1.88,2.69,2.07,3.79,1.98,0.58,0.81,0.45,1.3,0.52,0.45,0.0,0.32,8.16,2.43,1.33,3.34,1.88,0.39,3.43,16.39,2.07,11.05,1.98,6.64,2.66,2.66,0.06,0.39,0.52,0.13,0.1,0.91,0.0,0.23,0.29,0.36,0.0,18.53,7.03,4.89,0.19,0.23,0.39,0.0,1.17,0.0,4.57,0.0,0.06
