,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,RBS,FW,WP$,Segment_x,WC_x,Analytic_x,Clout_x,Authentic_x,Tone_x,WPS_x,Sixltr_x,Dic_x,function_x,pronoun_x,ppron_x,i_x,we_x,you_x,shehe_x,they_x,ipron_x,article_x,prep_x,auxverb_x,adverb_x,conj_x,negate_x,verb_x,adj_x,compare_x,interrog_x,number_x,quant_x,affect_x,posemo_x,negemo_x,anx_x,anger_x,sad_x,social_x,family_x,friend_x,female_x,male_x,cogproc_x,insight_x,cause_x,discrep_x,tentat_x,certain_x,differ_x,percept_x,see_x,hear_x,feel_x,bio_x,body_x,health_x,sexual_x,ingest_x,drives_x,affiliation_x,achieve_x,power_x,reward_x,risk_x,focuspast_x,focuspresent_x,focusfuture_x,relativ_x,motion_x,space_x,time_x,work_x,leisure_x,home_x,money_x,relig_x,death_x,informal_x,swear_x,netspeak_x,assent_x,nonflu_x,filler_x,AllPunc_x,Period_x,Comma_x,Colon_x,SemiC_x,QMark_x,Exclam_x,Dash_x,Quote_x,Apostro_x,Parenth_x,OtherP_x,Segment_y,WC_y,Analytic_y,Clout_y,Authentic_y,Tone_y,WPS_y,Sixltr_y,Dic_y,function_y,pronoun_y,ppron_y,i_y,we_y,you_y,shehe_y,they_y,ipron_y,article_y,prep_y,auxverb_y,adverb_y,conj_y,negate_y,verb_y,adj_y,compare_y,interrog_y,number_y,quant_y,affect_y,posemo_y,negemo_y,anx_y,anger_y,sad_y,social_y,family_y,friend_y,female_y,male_y,cogproc_y,insight_y,cause_y,discrep_y,tentat_y,certain_y,differ_y,percept_y,see_y,hear_y,feel_y,bio_y,body_y,health_y,sexual_y,ingest_y,drives_y,affiliation_y,achieve_y,power_y,reward_y,risk_y,focuspast_y,focuspresent_y,focusfuture_y,relativ_y,motion_y,space_y,time_y,work_y,leisure_y,home_y,money_y,relig_y,death_y,informal_y,swear_y,netspeak_y,assent_y,nonflu_y,filler_y,AllPunc_y,Period_y,Comma_y,Colon_y,SemiC_y,QMark_y,Exclam_y,Dash_y,Quote_y,Apostro_y,Parenth_y,OtherP_y
0,Reagan - Speech24 - Edited.txt,0.271889400921659,3472.0,944.0,23.763975155279503,16.0,13.0,144.0,1.0,1.0,191.0,161.0,8.0,141.0,36.0,351.0,21.0,442.0,169.0,11.0,4.0,83.0,370.0,115.0,4.0,130.0,10.0,7.0,341.0,46.0,246.0,4.0,21.0,100.0,5.0,193.0,97.0,78.0,87.0,199.0,83.0,39.0,15.0,15.0,1.0,0.0,0.0,0.0,1,3417,31.38,64.61,50.86,35.48,21.22,15.92,88.59,63.18,18.93,10.13,3.16,3.54,0.47,0.5,2.46,8.81,6.5,13.9,12.88,6.0,7.61,2.72,19.84,3.75,2.28,1.32,1.84,2.66,3.34,1.87,1.32,0.2,0.41,0.29,10.18,0.03,0.18,0.26,0.29,14.52,2.69,1.55,2.17,4.01,1.55,4.57,1.67,0.53,0.5,0.47,0.47,0.29,0.23,0.0,0.06,8.87,4.36,0.76,2.43,1.0,0.76,4.89,12.79,1.52,13.37,1.9,7.52,4.21,2.11,0.15,0.2,1.26,0.09,0.12,0.56,0.0,0.0,0.15,0.41,0.0,15.28,4.48,5.74,0.03,0.2,0.26,0.0,0.53,0.06,3.8,0.0,0.18,1,3417,31.38,64.61,50.86,35.48,21.22,15.92,88.59,63.18,18.93,10.13,3.16,3.54,0.47,0.5,2.46,8.81,6.5,13.9,12.88,6.0,7.61,2.72,19.84,3.75,2.28,1.32,1.84,2.66,3.34,1.87,1.32,0.2,0.41,0.29,10.18,0.03,0.18,0.26,0.29,14.52,2.69,1.55,2.17,4.01,1.55,4.57,1.67,0.53,0.5,0.47,0.47,0.29,0.23,0.0,0.06,8.87,4.36,0.76,2.43,1.0,0.76,4.89,12.79,1.52,13.37,1.9,7.52,4.21,2.11,0.15,0.2,1.26,0.09,0.12,0.56,0.0,0.0,0.15,0.41,0.0,15.28,4.48,5.74,0.03,0.2,0.26,0.0,0.53,0.06,3.8,0.0,0.18
1,Reagan - Speech3 - Edited.txt,0.2768086931655705,3497.0,968.0,23.625766871165645,16.0,8.0,117.0,1.0,2.0,189.0,164.0,0.0,134.0,48.0,381.0,11.0,442.0,194.0,7.0,9.0,67.0,399.0,117.0,4.0,146.0,4.0,2.0,306.0,40.0,220.0,3.0,14.0,121.0,1.0,175.0,84.0,82.0,96.0,184.0,113.0,42.0,27.0,19.0,2.0,1.0,0.0,0.0,1,3447,52.25,58.6,57.88,34.32,21.02,17.09,90.28,60.57,17.46,8.73,3.92,2.12,1.07,0.26,1.36,8.73,7.95,14.51,10.79,5.31,6.73,2.32,19.0,3.54,2.0,1.86,1.89,1.94,4.29,2.38,1.89,0.29,0.93,0.2,8.65,0.03,0.15,0.09,0.41,13.05,3.51,2.41,1.57,2.44,1.31,3.42,1.91,0.81,0.81,0.23,0.55,0.23,0.32,0.0,0.0,8.88,3.22,1.62,3.45,0.73,0.55,4.03,12.59,1.45,13.17,2.26,7.02,4.0,3.05,0.09,0.38,1.25,0.0,0.09,0.58,0.0,0.03,0.06,0.49,0.0,13.87,4.67,5.51,0.0,0.0,0.2,0.0,0.52,0.12,2.7,0.0,0.15,1,3447,52.25,58.6,57.88,34.32,21.02,17.09,90.28,60.57,17.46,8.73,3.92,2.12,1.07,0.26,1.36,8.73,7.95,14.51,10.79,5.31,6.73,2.32,19.0,3.54,2.0,1.86,1.89,1.94,4.29,2.38,1.89,0.29,0.93,0.2,8.65,0.03,0.15,0.09,0.41,13.05,3.51,2.41,1.57,2.44,1.31,3.42,1.91,0.81,0.81,0.23,0.55,0.23,0.32,0.0,0.0,8.88,3.22,1.62,3.45,0.73,0.55,4.03,12.59,1.45,13.17,2.26,7.02,4.0,3.05,0.09,0.38,1.25,0.0,0.09,0.58,0.0,0.03,0.06,0.49,0.0,13.87,4.67,5.51,0.0,0.0,0.2,0.0,0.52,0.12,2.7,0.0,0.15
2,Reagan - Speech42 - Edited.txt,0.24706844832287975,3667.0,906.0,23.584795321637426,16.0,17.0,134.0,9.0,0.0,192.0,171.0,7.0,152.0,57.0,382.0,16.0,488.0,172.0,14.0,11.0,85.0,385.0,93.0,6.0,126.0,5.0,4.0,376.0,28.0,224.0,2.0,23.0,127.0,8.0,204.0,87.0,95.0,89.0,209.0,93.0,36.0,37.0,18.0,0.0,2.0,0.0,0.0,1,3589,42.26,70.28,48.2,36.02,20.75,15.6,91.67,63.42,19.39,10.14,3.48,3.32,0.64,0.75,1.95,9.22,7.38,15.16,12.15,5.29,7.61,1.78,20.14,4.15,2.76,1.84,2.06,2.51,3.26,1.92,1.34,0.2,0.59,0.06,10.03,0.0,0.11,0.03,0.86,12.34,2.7,1.53,2.06,2.67,1.84,3.4,1.39,0.39,0.78,0.2,0.25,0.17,0.08,0.06,0.0,9.22,4.01,1.25,3.04,1.06,0.5,4.24,13.04,1.67,13.96,2.7,6.97,4.46,3.62,0.2,0.08,2.79,0.08,0.25,0.84,0.0,0.06,0.22,0.59,0.0,14.43,4.71,5.38,0.08,0.08,0.17,0.0,0.36,0.0,3.23,0.0,0.42,1,3589,42.26,70.28,48.2,36.02,20.75,15.6,91.67,63.42,19.39,10.14,3.48,3.32,0.64,0.75,1.95,9.22,7.38,15.16,12.15,5.29,7.61,1.78,20.14,4.15,2.76,1.84,2.06,2.51,3.26,1.92,1.34,0.2,0.59,0.06,10.03,0.0,0.11,0.03,0.86,12.34,2.7,1.53,2.06,2.67,1.84,3.4,1.39,0.39,0.78,0.2,0.25,0.17,0.08,0.06,0.0,9.22,4.01,1.25,3.04,1.06,0.5,4.24,13.04,1.67,13.96,2.7,6.97,4.46,3.62,0.2,0.08,2.79,0.08,0.25,0.84,0.0,0.06,0.22,0.59,0.0,14.43,4.71,5.38,0.08,0.08,0.17,0.0,0.36,0.0,3.23,0.0,0.42
3,Reagan - Speech38 - Edited.txt,0.2414481897627965,4005.0,967.0,24.75418994413408,14.0,19.0,152.0,2.0,1.0,242.0,179.0,8.0,189.0,33.0,415.0,26.0,499.0,168.0,5.0,7.0,94.0,394.0,154.0,6.0,172.0,4.0,7.0,359.0,51.0,275.0,3.0,32.0,156.0,11.0,254.0,142.0,91.0,100.0,173.0,83.0,37.0,36.0,18.0,1.0,4.0,0.0,0.0,1,3931,39.08,72.07,30.77,38.92,21.96,16.2,90.92,63.01,18.27,9.51,2.93,2.52,0.76,1.14,2.16,8.75,6.61,14.6,11.73,5.67,8.04,2.34,19.82,2.9,1.63,1.76,1.12,2.65,3.69,2.21,1.48,0.31,0.41,0.15,11.88,0.1,0.1,0.0,1.22,12.97,2.31,1.37,2.54,3.28,1.22,4.02,2.06,0.43,1.07,0.38,0.53,0.15,0.33,0.0,0.05,9.72,4.35,1.42,3.21,1.27,0.46,5.16,11.52,1.48,12.41,2.14,7.15,3.61,2.93,0.25,0.18,0.84,0.31,0.1,0.92,0.03,0.0,0.25,0.64,0.0,14.37,4.45,6.16,0.13,0.08,0.13,0.0,0.33,0.05,2.95,0.0,0.1,1,3931,39.08,72.07,30.77,38.92,21.96,16.2,90.92,63.01,18.27,9.51,2.93,2.52,0.76,1.14,2.16,8.75,6.61,14.6,11.73,5.67,8.04,2.34,19.82,2.9,1.63,1.76,1.12,2.65,3.69,2.21,1.48,0.31,0.41,0.15,11.88,0.1,0.1,0.0,1.22,12.97,2.31,1.37,2.54,3.28,1.22,4.02,2.06,0.43,1.07,0.38,0.53,0.15,0.33,0.0,0.05,9.72,4.35,1.42,3.21,1.27,0.46,5.16,11.52,1.48,12.41,2.14,7.15,3.61,2.93,0.25,0.18,0.84,0.31,0.1,0.92,0.03,0.0,0.25,0.64,0.0,14.37,4.45,6.16,0.13,0.08,0.13,0.0,0.33,0.05,2.95,0.0,0.1
4,Reagan - Speech5 - Edited.txt,0.2672556598564329,3622.0,968.0,24.570552147239265,13.0,10.0,140.0,3.0,4.0,218.0,163.0,6.0,144.0,32.0,397.0,20.0,496.0,194.0,16.0,6.0,74.0,452.0,84.0,6.0,133.0,4.0,2.0,306.0,58.0,205.0,2.0,14.0,118.0,4.0,196.0,59.0,78.0,106.0,191.0,125.0,43.0,19.0,22.0,4.0,1.0,0.0,0.0,1,3553,51.56,73.39,47.54,45.96,21.8,16.97,90.49,61.05,17.39,8.75,2.79,3.72,0.79,0.48,0.99,8.64,7.49,15.14,11.54,5.32,7.01,1.77,18.91,4.02,2.56,1.8,1.75,2.36,3.91,2.48,1.38,0.2,0.42,0.2,9.68,0.11,0.14,0.42,0.11,13.43,3.66,1.55,1.69,3.18,1.66,3.35,1.41,0.42,0.7,0.23,0.65,0.14,0.48,0.0,0.03,9.37,4.5,1.66,2.25,1.27,0.62,3.29,13.26,2.03,13.0,2.31,6.36,4.64,3.18,0.2,0.45,1.63,0.03,0.06,0.76,0.03,0.17,0.14,0.39,0.03,14.55,4.45,6.22,0.06,0.11,0.14,0.0,0.53,0.23,2.65,0.0,0.17,1,3553,51.56,73.39,47.54,45.96,21.8,16.97,90.49,61.05,17.39,8.75,2.79,3.72,0.79,0.48,0.99,8.64,7.49,15.14,11.54,5.32,7.01,1.77,18.91,4.02,2.56,1.8,1.75,2.36,3.91,2.48,1.38,0.2,0.42,0.2,9.68,0.11,0.14,0.42,0.11,13.43,3.66,1.55,1.69,3.18,1.66,3.35,1.41,0.42,0.7,0.23,0.65,0.14,0.48,0.0,0.03,9.37,4.5,1.66,2.25,1.27,0.62,3.29,13.26,2.03,13.0,2.31,6.36,4.64,3.18,0.2,0.45,1.63,0.03,0.06,0.76,0.03,0.17,0.14,0.39,0.03,14.55,4.45,6.22,0.06,0.11,0.14,0.0,0.53,0.23,2.65,0.0,0.17
5,Reagan - Speech14 - Edited.txt,0.25621414913957935,3661.0,938.0,22.276243093922652,11.0,13.0,141.0,3.0,0.0,189.0,181.0,6.0,151.0,50.0,420.0,26.0,498.0,186.0,8.0,3.0,89.0,413.0,112.0,7.0,150.0,0.0,5.0,302.0,33.0,224.0,8.0,22.0,100.0,10.0,218.0,60.0,96.0,86.0,185.0,109.0,37.0,29.0,15.0,0.0,1.0,0.0,0.0,1,3591,48.91,68.59,52.21,53.52,19.62,15.76,91.76,61.43,17.52,7.99,2.62,3.65,0.75,0.17,0.81,9.52,7.55,14.7,11.39,5.37,7.18,2.12,19.77,3.56,2.2,1.59,1.81,2.34,3.76,2.62,1.14,0.33,0.31,0.06,9.11,0.0,0.06,0.03,0.22,13.73,2.95,2.14,2.37,2.78,1.34,3.93,1.73,0.58,0.78,0.22,0.31,0.11,0.17,0.0,0.03,10.69,4.54,2.53,2.37,1.34,0.75,3.31,13.78,1.78,14.37,2.26,7.55,5.04,3.95,0.14,0.36,1.5,0.11,0.11,0.75,0.0,0.0,0.25,0.5,0.0,14.06,4.79,5.29,0.03,0.14,0.36,0.0,0.33,0.0,2.98,0.0,0.14,1,3591,48.91,68.59,52.21,53.52,19.62,15.76,91.76,61.43,17.52,7.99,2.62,3.65,0.75,0.17,0.81,9.52,7.55,14.7,11.39,5.37,7.18,2.12,19.77,3.56,2.2,1.59,1.81,2.34,3.76,2.62,1.14,0.33,0.31,0.06,9.11,0.0,0.06,0.03,0.22,13.73,2.95,2.14,2.37,2.78,1.34,3.93,1.73,0.58,0.78,0.22,0.31,0.11,0.17,0.0,0.03,10.69,4.54,2.53,2.37,1.34,0.75,3.31,13.78,1.78,14.37,2.26,7.55,5.04,3.95,0.14,0.36,1.5,0.11,0.11,0.75,0.0,0.0,0.25,0.5,0.0,14.06,4.79,5.29,0.03,0.14,0.36,0.0,0.33,0.0,2.98,0.0,0.14
6,Reagan - Speech12 - Edited.txt,0.2636125654450262,3820.0,1007.0,22.684491978609625,10.0,11.0,138.0,1.0,1.0,234.0,187.0,2.0,166.0,38.0,390.0,26.0,474.0,203.0,9.0,0.0,87.0,415.0,155.0,4.0,136.0,2.0,5.0,350.0,41.0,228.0,8.0,22.0,130.0,8.0,211.0,110.0,96.0,107.0,189.0,113.0,32.0,33.0,24.0,1.0,4.0,0.0,0.0,1,3768,43.02,74.49,43.44,50.01,19.94,15.31,88.22,60.88,18.18,9.47,3.03,3.42,0.85,0.82,1.35,8.7,7.19,13.75,11.78,5.36,7.43,1.59,19.75,3.53,2.28,1.62,1.73,2.28,2.79,2.04,0.74,0.16,0.13,0.21,9.95,0.11,0.11,0.08,0.8,12.05,2.97,2.02,2.07,3.11,0.88,3.03,1.88,0.48,0.77,0.56,0.16,0.05,0.08,0.0,0.03,9.53,4.25,1.51,2.63,1.06,0.5,4.35,12.82,1.67,13.88,2.23,6.61,5.39,2.84,0.16,0.19,1.41,0.11,0.0,0.64,0.0,0.13,0.21,0.29,0.0,15.02,4.86,6.24,0.03,0.03,0.29,0.0,0.5,0.05,2.76,0.0,0.27,1,3768,43.02,74.49,43.44,50.01,19.94,15.31,88.22,60.88,18.18,9.47,3.03,3.42,0.85,0.82,1.35,8.7,7.19,13.75,11.78,5.36,7.43,1.59,19.75,3.53,2.28,1.62,1.73,2.28,2.79,2.04,0.74,0.16,0.13,0.21,9.95,0.11,0.11,0.08,0.8,12.05,2.97,2.02,2.07,3.11,0.88,3.03,1.88,0.48,0.77,0.56,0.16,0.05,0.08,0.0,0.03,9.53,4.25,1.51,2.63,1.06,0.5,4.35,12.82,1.67,13.88,2.23,6.61,5.39,2.84,0.16,0.19,1.41,0.11,0.0,0.64,0.0,0.13,0.21,0.29,0.0,15.02,4.86,6.24,0.03,0.03,0.29,0.0,0.5,0.05,2.76,0.0,0.27
7,Reagan - Speech13 - Edited.txt,0.2602813852813853,3696.0,962.0,25.879746835443036,14.0,12.0,118.0,6.0,2.0,234.0,158.0,7.0,140.0,58.0,381.0,31.0,512.0,192.0,20.0,6.0,61.0,437.0,117.0,6.0,148.0,3.0,2.0,293.0,38.0,242.0,2.0,13.0,102.0,8.0,172.0,110.0,94.0,105.0,202.0,96.0,37.0,32.0,20.0,2.0,0.0,0.0,0.0,1,3615,51.05,65.7,62.63,51.66,22.74,16.18,89.88,60.11,16.29,7.8,2.93,2.46,0.72,0.19,1.49,8.49,7.39,14.85,11.48,5.84,7.19,2.02,19.61,3.93,2.63,1.77,2.41,2.77,3.24,2.3,0.91,0.03,0.33,0.14,8.93,0.03,0.06,0.08,0.22,11.84,3.18,1.6,1.41,2.54,1.55,3.13,1.96,0.75,0.91,0.25,0.33,0.06,0.19,0.0,0.08,8.22,3.15,1.41,2.6,1.11,0.39,5.12,12.25,2.02,15.3,2.57,7.47,5.45,3.1,0.25,0.22,1.55,0.06,0.11,0.64,0.0,0.03,0.19,0.41,0.0,15.55,4.18,6.5,0.03,0.17,0.25,0.0,0.69,0.11,3.04,0.0,0.58,1,3615,51.05,65.7,62.63,51.66,22.74,16.18,89.88,60.11,16.29,7.8,2.93,2.46,0.72,0.19,1.49,8.49,7.39,14.85,11.48,5.84,7.19,2.02,19.61,3.93,2.63,1.77,2.41,2.77,3.24,2.3,0.91,0.03,0.33,0.14,8.93,0.03,0.06,0.08,0.22,11.84,3.18,1.6,1.41,2.54,1.55,3.13,1.96,0.75,0.91,0.25,0.33,0.06,0.19,0.0,0.08,8.22,3.15,1.41,2.6,1.11,0.39,5.12,12.25,2.02,15.3,2.57,7.47,5.45,3.1,0.25,0.22,1.55,0.06,0.11,0.64,0.0,0.03,0.19,0.41,0.0,15.55,4.18,6.5,0.03,0.17,0.25,0.0,0.69,0.11,3.04,0.0,0.58
8,Reagan - Speech44 - Edited.txt,0.26602904711300035,2823.0,751.0,22.148936170212767,11.0,10.0,118.0,0.0,2.0,153.0,141.0,8.0,126.0,18.0,292.0,18.0,341.0,160.0,0.0,2.0,67.0,319.0,49.0,4.0,104.0,6.0,3.0,285.0,68.0,170.0,3.0,7.0,99.0,3.0,158.0,87.0,55.0,88.0,158.0,62.0,24.0,19.0,17.0,2.0,4.0,1.0,0.0,1,2806,37.31,70.49,38.48,60.91,19.9,16.89,91.23,62.79,19.81,11.08,4.63,2.92,0.78,1.18,1.57,8.73,7.2,13.22,11.08,5.35,7.59,2.07,19.57,3.6,1.82,1.5,1.18,1.82,4.31,2.99,1.14,0.07,0.61,0.14,11.44,0.46,0.11,0.68,1.07,14.11,3.64,2.17,2.78,3.21,1.14,3.06,2.0,0.53,1.0,0.43,0.36,0.11,0.18,0.04,0.07,8.77,3.74,1.75,2.35,1.75,0.18,4.81,12.15,1.43,11.87,1.89,6.52,3.74,2.67,0.14,0.0,0.14,0.21,0.11,0.78,0.0,0.0,0.11,0.68,0.0,13.15,4.92,5.49,0.21,0.07,0.18,0.0,0.39,0.14,1.75,0.0,0.0,1,2806,37.31,70.49,38.48,60.91,19.9,16.89,91.23,62.79,19.81,11.08,4.63,2.92,0.78,1.18,1.57,8.73,7.2,13.22,11.08,5.35,7.59,2.07,19.57,3.6,1.82,1.5,1.18,1.82,4.31,2.99,1.14,0.07,0.61,0.14,11.44,0.46,0.11,0.68,1.07,14.11,3.64,2.17,2.78,3.21,1.14,3.06,2.0,0.53,1.0,0.43,0.36,0.11,0.18,0.04,0.07,8.77,3.74,1.75,2.35,1.75,0.18,4.81,12.15,1.43,11.87,1.89,6.52,3.74,2.67,0.14,0.0,0.14,0.21,0.11,0.78,0.0,0.0,0.11,0.68,0.0,13.15,4.92,5.49,0.21,0.07,0.18,0.0,0.39,0.14,1.75,0.0,0.0
9,Reagan - Speech34 - Edited.txt,0.2540570789031897,3574.0,908.0,21.661202185792348,18.0,15.0,127.0,2.0,7.0,206.0,184.0,6.0,158.0,25.0,383.0,21.0,437.0,165.0,7.0,5.0,72.0,380.0,101.0,10.0,147.0,3.0,4.0,368.0,45.0,259.0,2.0,12.0,109.0,4.0,198.0,129.0,86.0,75.0,186.0,79.0,31.0,24.0,26.0,6.0,2.0,0.0,0.0,1,3460,31.67,74.51,40.56,62.49,18.91,15.14,90.61,62.89,19.51,10.78,3.5,3.44,1.24,0.55,2.05,8.73,6.91,13.24,11.76,5.9,7.86,2.75,19.45,3.38,2.23,1.73,1.1,2.72,3.01,2.46,0.52,0.03,0.23,0.17,12.14,0.09,0.2,0.03,0.66,13.24,2.66,1.71,1.94,3.06,1.59,3.99,1.85,0.84,0.72,0.26,0.52,0.29,0.26,0.03,0.06,9.13,4.28,1.1,2.77,1.13,0.26,5.12,12.17,1.47,11.91,1.56,6.62,3.82,3.79,0.29,0.17,0.92,0.09,0.0,0.81,0.0,0.0,0.14,0.66,0.0,15.92,5.12,6.01,0.0,0.17,0.23,0.0,0.32,0.35,3.61,0.0,0.12,1,3460,31.67,74.51,40.56,62.49,18.91,15.14,90.61,62.89,19.51,10.78,3.5,3.44,1.24,0.55,2.05,8.73,6.91,13.24,11.76,5.9,7.86,2.75,19.45,3.38,2.23,1.73,1.1,2.72,3.01,2.46,0.52,0.03,0.23,0.17,12.14,0.09,0.2,0.03,0.66,13.24,2.66,1.71,1.94,3.06,1.59,3.99,1.85,0.84,0.72,0.26,0.52,0.29,0.26,0.03,0.06,9.13,4.28,1.1,2.77,1.13,0.26,5.12,12.17,1.47,11.91,1.56,6.62,3.82,3.79,0.29,0.17,0.92,0.09,0.0,0.81,0.0,0.0,0.14,0.66,0.0,15.92,5.12,6.01,0.0,0.17,0.23,0.0,0.32,0.35,3.61,0.0,0.12
